Key,Action,Timestamp
h,Pressed,1.637348
h,Released,1.70947
f,Pressed,1.829549
f,Released,1.937748
h,Pressed,1.940125
h,Released,2.009724
f,Pressed,2.086695
h,Pressed,2.13486
f,Released,2.166857
h,Released,2.203897
f,Pressed,2.286073
f,Released,2.375396
h,Pressed,2.378669
h,Released,2.451917
f,Pressed,2.504048
f,Released,2.588593
h,Pressed,2.608561
h,Released,2.68431
f,Pressed,2.713644
f,Released,2.846131
Key.esc,Pressed,4.062648
Key.esc,Released,4.126162
