Key,Action,Timestamp
f,Pressed,1.701909
f,Released,1.810699
g,Pressed,1.909183
g,Released,1.975306
h,Pressed,2.120489
h,Released,2.184277
d,Pressed,2.242491
d,Released,2.334811
g,Pressed,2.372081
g,Released,2.432814
h,Pressed,2.55602
h,Released,2.62449
d,Pressed,2.667769
d,Released,2.764284
g,Pressed,2.78367
g,Released,2.852151
h,Pressed,3.016632
h,Released,3.050025
g,Pressed,3.241531
g,Released,3.30731
d,Pressed,3.431668
d,Released,3.53918
h,Pressed,3.554541
h,Released,3.615559
d,Pressed,3.694996
d,Released,3.798497
g,Pressed,3.895923
g,Released,3.960704
h,Pressed,4.112266
h,Released,4.189271
f,Pressed,4.254762
f,Released,4.336588
g,Pressed,4.368184
g,Released,4.416336
d,Pressed,4.482704
d,Released,4.59971
h,Pressed,4.614482
h,Released,4.682772
g,Pressed,4.7924
g,Released,4.86587
f,Pressed,4.905558
f,Released,4.990126
h,Pressed,5.009422
h,Released,5.082313
d,Pressed,5.165172
d,Released,5.305864
g,Pressed,5.335319
g,Released,5.403705
Key.esc,Pressed,6.154743
Key.esc,Released,6.297915
