Key,Action,Timestamp
g,Pressed,1.395879
g,Released,1.463767
g,Pressed,1.60394
g,Released,1.671318
d,Pressed,1.791766
d,Released,1.891467
f,Pressed,1.984108
f,Released,2.038656
f,Pressed,2.237087
f,Released,2.262007
g,Pressed,2.474205
g,Released,2.542118
d,Pressed,2.622066
d,Released,2.726411
h,Pressed,2.782308
h,Released,2.846238
g,Pressed,2.986125
g,Released,3.045406
f,Pressed,3.089794
f,Released,3.162042
h,Pressed,3.201731
h,Released,3.275425
g,Pressed,3.387676
g,Released,3.448595
d,Pressed,3.485036
d,Released,3.56044
h,Pressed,3.580061
h,Released,3.655384
Key.esc,Pressed,4.650244
Key.esc,Released,4.747126
