Key,Action,Timestamp
h,Pressed,1.42984
h,Released,1.504936
g,Pressed,1.687932
g,Released,1.729708
f,Pressed,1.888977
f,Released,2.001073
h,Pressed,2.073431
h,Released,2.149217
g,Pressed,2.278119
g,Released,2.339025
h,Pressed,2.475946
h,Released,2.551908
f,Pressed,2.610896
f,Released,2.699202
g,Pressed,2.738694
g,Released,2.794248
t,Pressed,2.989764
t,Released,3.038123
g,Pressed,3.149472
g,Released,3.230327
e,Pressed,3.250978
e,Released,3.31498
f,Pressed,3.437322
f,Released,3.502422
d,Pressed,3.56967
d,Released,3.646148
g,Pressed,3.69243
g,Released,3.756281
t,Pressed,3.881149
t,Released,3.925277
e,Pressed,3.992124
e,Released,4.068686
g,Pressed,4.144075
g,Released,4.204433
h,Pressed,4.354429
h,Released,4.428719
d,Pressed,4.586871
d,Released,4.711774
g,Pressed,4.762412
g,Released,4.822596
h,Pressed,4.961412
h,Released,5.041718
f,Pressed,5.102221
f,Released,5.186703
g,Pressed,5.229229
g,Released,5.29297
h,Pressed,5.423456
h,Released,5.499728
e,Pressed,5.549984
e,Released,5.634859
g,Pressed,5.692701
g,Released,5.745384
h,Pressed,5.871223
h,Released,5.947298
f,Pressed,5.987324
f,Released,6.043449
g,Pressed,6.099958
g,Released,6.156758
h,Pressed,6.287971
h,Released,6.364803
d,Pressed,6.439368
d,Released,6.503059
g,Pressed,6.561191
g,Released,6.624837
e,Pressed,6.696485
e,Released,6.785071
h,Pressed,6.785927
h,Released,6.8652
f,Pressed,6.958251
f,Released,7.042206
g,Pressed,7.0979
g,Released,7.161868
h,Pressed,7.305355
h,Released,7.377126
r,Pressed,7.423162
r,Released,7.507424
g,Pressed,7.534195
g,Released,7.594927
h,Pressed,7.72175
h,Released,7.79776
f,Pressed,7.831857
f,Released,7.923901
g,Pressed,7.948521
g,Released,8.013412
r,Pressed,8.116756
r,Released,8.216163
f,Pressed,8.544957
f,Released,8.625392
g,Pressed,8.69111
g,Released,8.751567
t,Pressed,8.890149
t,Released,8.938286
g,Pressed,9.043054
g,Released,9.123178
r,Pressed,9.151058
r,Released,9.231998
t,Pressed,9.294742
t,Released,9.338638
g,Pressed,9.437981
g,Released,9.531719
f,Pressed,9.53408
f,Released,9.614254
Key.esc,Pressed,10.733241
Key.esc,Released,10.789014
