Key,Action,Timestamp
f,Pressed,0.935916
f,Released,1.019021
g,Pressed,1.05562
g,Released,1.122926
h,Pressed,1.248781
h,Released,1.325079
d,Pressed,1.399601
d,Released,1.475431
g,Pressed,1.507593
g,Released,1.559751
h,Pressed,1.673752
h,Released,1.753023
f,Pressed,1.768185
f,Released,1.840722
g,Pressed,1.895776
g,Released,1.960841
h,Pressed,2.069669
h,Released,2.15048
r,Pressed,2.168662
r,Released,2.233086
g,Pressed,2.274795
g,Released,2.342807
f,Pressed,2.402504
f,Released,2.490841
h,Pressed,2.50571
h,Released,2.561942
r,Pressed,2.6296
r,Released,2.717896
g,Pressed,2.73357
g,Released,2.806088
f,Pressed,2.8424
f,Released,2.938829
Key.esc,Pressed,4.107204
Key.esc,Released,4.218786
