Key,Action,Timestamp
h,Pressed,0.760842
h,Released,0.832785
f,Pressed,0.948707
f,Released,1.044691
h,Pressed,1.112171
h,Released,1.18046
f,Pressed,1.265458
f,Released,1.365842
h,Pressed,1.407514
h,Released,1.476224
f,Pressed,1.541871
f,Released,1.634361
h,Pressed,1.674579
h,Released,1.746983
f,Pressed,1.822136
f,Released,1.902797
h,Pressed,1.943308
h,Released,2.020132
f,Pressed,2.072411
f,Released,2.172361
h,Pressed,2.201086
h,Released,2.281765
f,Pressed,2.361324
f,Released,2.445926
g,Pressed,2.561537
g,Released,2.625336
h,Pressed,2.758554
h,Released,2.822495
r,Pressed,2.891377
r,Released,2.979213
g,Pressed,3.050161
g,Released,3.098416
h,Pressed,3.22148
h,Released,3.294424
f,Pressed,3.33143
f,Released,3.402429
g,Pressed,3.44132
g,Released,3.50304
h,Pressed,3.616367
h,Released,3.686694
r,Pressed,3.703417
r,Released,3.774452
g,Pressed,3.817311
g,Released,3.87738
h,Pressed,3.986431
h,Released,4.058104
f,Pressed,4.114385
f,Released,4.198172
g,Pressed,4.226428
g,Released,4.287182
Key.esc,Pressed,4.876511
Key.esc,Released,4.963806
