Key,Action,Timestamp
Key.cmd,Pressed,1.013223
Key.tab,Pressed,1.044976
Key.cmd,Released,1.100175
Key.tab,Released,1.149156
Key.cmd,Pressed,2.908787
Key.tab,Pressed,2.940329
Key.cmd,Released,3.008885
Key.tab,Released,3.06089
Key.cmd,Pressed,4.281334
Key.tab,Pressed,4.397532
Key.tab,Released,4.513808
Key.cmd,Released,5.406711
,Released,5.627494
Key.caps_lock,Pressed,6.143945
Key.caps_lock,Released,6.144405
I,Pressed,6.18781
I,Released,6.256902
Key.caps_lock,Pressed,6.278043
Key.caps_lock,Released,6.2785
n,Pressed,6.36776
n,Released,6.416056
Key.space,Pressed,6.490796
Key.space,Released,6.571283
t,Pressed,6.729646
t,Released,6.797935
h,Pressed,6.855873
e,Pressed,6.912015
h,Released,6.930354
e,Released,6.987293
Key.space,Pressed,7.025807
Key.space,Released,7.118302
r,Pressed,7.160827
r,Released,7.221987
e,Pressed,7.304092
e,Released,7.424135
c,Pressed,7.438457
o,Pressed,7.530728
c,Released,7.550753
o,Released,7.628724
r,Pressed,7.638317
r,Released,7.703205
d,Pressed,7.782215
i,Pressed,7.826208
d,Released,7.881544
i,Released,7.882376
n,Pressed,7.977171
n,Released,8.054117
g,Pressed,8.077592
Key.space,Pressed,8.156318
g,Released,8.161541
Key.space,Released,8.269069
m,Pressed,8.506029
m,Released,8.562109
o,Pressed,8.711971
o,Released,8.784357
d,Pressed,8.821718
e,Pressed,8.921621
d,Released,8.977054
e,Released,9.045133
Key.space,Pressed,9.190201
Key.shift_r,Pressed,9.305026
Key.space,Released,9.32496
(,Pressed,9.420957
Key.shift_r,Released,9.476976
9,Released,9.516829
n,Pressed,9.703588
n,Released,9.770873
o,Pressed,9.877787
o,Released,9.954135
Key.space,Pressed,10.137195
Key.space,Released,10.238197
Key.backspace,Pressed,10.44553
Key.backspace,Released,10.521895
t,Pressed,10.541
t,Released,10.604063
Key.space,Pressed,10.668424
Key.space,Released,10.743943
p,Pressed,10.873643
r,Pressed,10.925768
p,Released,10.953928
r,Released,10.994186
e,Pressed,11.065642
e,Released,11.198361
d,Pressed,11.202937
d,Released,11.306102
i,Pressed,11.328865
i,Released,11.401072
c,Pressed,11.408582
c,Released,11.512125
t,Pressed,11.519823
i,Pressed,11.585438
t,Released,11.62805
i,Released,11.635837
o,Pressed,11.697026
o,Released,11.76913
n,Pressed,11.85878
n,Released,11.911596
Key.shift_r,Pressed,12.334792
),Pressed,12.454416
Key.shift_r,Released,12.54306
0,Released,12.566384
Key.space,Pressed,12.853801
Key.space,Released,12.946291
y,Pressed,13.214766
y,Released,13.258997
o,Pressed,13.381592
o,Released,13.445931
u,Pressed,13.529955
Key.space,Pressed,13.565877
u,Released,13.589822
Key.space,Released,13.671017
m,Pressed,13.713912
m,Released,13.80171
e,Pressed,13.809379
a,Pressed,13.913907
e,Released,13.933405
n,Pressed,13.990154
a,Released,14.037243
n,Released,14.065277
Key.space,Pressed,14.154553
Key.space,Released,14.2515
r,Pressed,14.379207
r,Released,14.463501
i,Pressed,14.505485
i,Released,14.557828
g,Pressed,14.60689
g,Released,14.662256
h,Pressed,14.693922
h,Released,14.763736
t,Pressed,14.786616
t,Released,14.859173
Key.space,Pressed,14.976522
Key.shift_r,Pressed,14.984375
Key.space,Released,15.077133
?,Pressed,15.108387
Key.shift_r,Released,15.160403
/,Released,15.213037
Key.space,Pressed,15.224389
Key.space,Released,15.353241
Key.enter,Pressed,15.360848
Key.enter,Released,15.437152
Key.cmd,Pressed,15.612287
Key.tab,Pressed,15.648272
Key.cmd,Released,15.705504
Key.tab,Released,15.752989
g,Pressed,18.057985
g,Released,18.110241
f,Pressed,18.149754
f,Released,18.21324
g,Pressed,18.250278
g,Released,18.311037
f,Pressed,18.332484
f,Released,18.384922
g,Pressed,18.413787
g,Released,18.478544
f,Pressed,18.498459
f,Released,18.554585
g,Pressed,18.566447
g,Released,18.630485
f,Pressed,18.666256
f,Released,18.734656
Key.esc,Pressed,19.545866
Key.esc,Released,19.633514
